danceability,energy,tempo,loudness,valence,liveness,speechiness,acousticness,instrumentalness,duration_ms,track_id,track_name,track_artist,track_album_release_date
-0.5251610405721078,0.050082300431570984,1.3829279790215436,0.23473714654135025,0.21646877538354478,-0.366057249351772,-0.696542761383096,-0.13128751156619023,-0.5908852063459558,0.5569407797365031,2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",2024-08-16
0.6678127206643862,-0.2900612864969707,-0.46327304364712685,-0.0938154646228679,-0.15716014111749207,-0.4060036837514094,-0.6428229190772701,-0.4596988958769938,-0.4215669256807214,0.05796356612370877,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,2024-05-17
-0.3509657568517346,0.9144471801558659,-0.3388946086123631,0.7298991436509992,-0.4113818781181975,-0.07045363479445456,-0.6328748001317467,-0.41712704976263043,-0.5908852063459558,-0.47458087595297577,7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,2024-10-18
0.2613570586501827,1.322619484470116,-0.18497194026962238,0.7434859057668126,1.1832817448862274,1.0879929627950324,-0.3682548361808265,-0.7823326725008483,-0.5908852063459558,-0.5835716609581194,1d7Ptw3qYcfpdLNL5REhtJ,Taste,Sabrina Carpenter,2024-08-23
0.8261720695010891,0.8144049487062947,1.0713896131725642,0.6876292170684681,1.7726139533878624,1.4954465936713346,1.587545348509058,-0.9818121800081512,-0.5908852063459558,-0.4308758128306249,5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",2024-10-18
0.41971640748688505,0.010065407851742498,-0.054461683227542475,0.4841022653740088,1.1794299003862168,-0.6368940745813141,-0.6448125428663748,-0.9152176493006825,-0.5908852063459558,0.15524569584393175,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,2024-04-05
0.2560784136889593,-0.07397006656589689,1.107692786647697,0.4047775330210772,1.395133192386815,-0.5785722803578434,-0.5900978886659964,0.4373507186756642,-0.5640950441749105,-0.4335220414244305,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,2024-08-09
-0.8102078684781727,-1.3305004935725104,1.0391278678386178,-0.3451019437547326,-1.3589356251208267,0.017428520884747986,-0.5702016507749498,0.7931297183457015,-0.5901305146673328,0.6753444052648183,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,2024-05-17
-0.6782417444475872,-0.6542150089734097,-0.8134836960195195,-0.13059579035052485,-0.7002702156189992,0.2810749879223554,-0.7462833561107125,1.0181523335216227,-0.5906454316096847,0.07736924247828311,0UYnhUfnUj5adChuAXvLUB,Sailor Song,Gigi Perez,2024-07-26
0.7839429098113017,0.5703019039693409,0.05915122339664893,0.5492912755256394,0.35128333288391855,-0.4539394050309744,-0.49459594678897256,-0.8902827108622697,-0.5908780771551909,0.6092853563043836,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",2024-09-27
0.8208934245398657,0.35020899478028467,0.4091528363824291,0.3932493712258415,0.5361718688844317,-0.732765517140444,-0.021065484982062656,-1.0234717722772069,0.24456683641013505,-0.7293075653868375,3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,"Charli xcx, Billie Eilish",2024-08-01
0.2560784136889593,0.026072164883673893,-0.39035313761694185,0.46859414295898927,0.3859499333840148,-0.5098644131904669,-0.46176715426874565,-0.23467628070107277,-0.5908852063459558,-0.23213075387667792,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,2024-06-06
-0.06591892894566995,0.9064438016399001,-0.4962315869364507,0.8295353991669652,0.4167646893841003,0.18520354536322534,-0.5154869965745716,-0.6999257418080447,-0.5908852063459558,-0.2870369763892469,1f18HzFpegqvH4ibGJyeMJ,2 hands,Tate McRae,2024-11-14
0.5358465966338005,0.5182799436155638,-1.2982460335751778,0.6227146869595812,0.48224604588428205,-0.6984115835567558,-0.7273819301142181,-0.8753825647222425,-0.5908852063459558,-0.41426136389691404,2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,2024-04-12
0.6414194958582691,0.7103610279987406,0.7562627378533949,0.6184602462970538,1.8419471543880548,1.0959822496749598,-0.5801497697204732,-1.0110043030580003,-0.5908852063459558,-0.2505456049130237,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,2023-09-22
-0.3087365971619471,1.3506313092759958,-0.6023190756425726,0.9221724135929665,0.08550606238318126,2.558021748701692,0.16496433929922347,-0.911872718534554,-0.5908852063459558,0.295084981305631,19KlZwqlT3fguP2BeHF1Q1,Disease,Lady Gaga,2024-10-25
0.5991903361684816,0.8304117057382261,-0.2904323108159051,0.7598174683100632,0.7441714718850091,1.1519072578344525,0.15501622035370016,-0.6847215110529149,-0.5908852063459558,-0.601974428758877,5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),LISA,2024-10-08
-0.007853834372212211,1.0545063041852651,0.13200144963129593,0.5680931584535834,1.0292079648858,-0.030507200394817035,-0.7164389992741426,-1.0390409045704598,-0.5905565952091384,-0.009025891977013646,7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,2024-10-18
-0.4776532359210969,-0.694231901553238,-0.08135808430508817,0.27179195231175085,-0.5423445911185608,-0.27817509367256943,-0.6706776521247353,0.9269269489908438,-0.5908852063459558,-0.5851787312913438,51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,2024-06-21
